"latitude","longitude","year","month","frp","daynight"
-21.336,130.0169,"2017","05",784.2,"D"
-21.3344,130.0067,"2017","05",1759.7,"D"
-21.3267,130.0185,"2017","05",1152.5,"D"
-21.3251,130.0083,"2017","05",1068.7,"D"
-21.319,130.0304,"2017","05",620.1,"D"
-21.3174,130.0202,"2017","05",1244.6,"D"
-21.2744,130.0487,"2017","05",508.5,"D"
-21.2651,130.0503,"2017","05",714.9,"D"
-21.2336,130.0729,"2017","05",687.7,"D"
-21.1982,130.0896,"2017","05",818.5,"D"
-21.2058,130.0778,"2017","05",915.1,"D"
-21.1966,130.0794,"2017","05",578,"D"
-21.2728,130.0385,"2017","05",589.5,"D"
-13.8032,131.6264,"2017","05",613.7,"D"
-21.5185,130.0087,"2017","05",1036.7,"D"
-21.5185,130.0165,"2017","05",976.3,"D"
-21.8009,129.5704,"2017","05",525.8,"D"
-21.7979,129.5617,"2017","05",568.8,"D"
-21.7123,129.7118,"2017","05",640,"D"
-17.8278,125.5668,"2017","05",838.8,"D"
-17.8229,125.558,"2017","05",603.4,"D"
-21.5818,130.0459,"2017","05",638.3,"D"
-21.3815,129.3544,"2017","05",679.6,"D"
-21.3962,129.3529,"2017","05",875.3,"D"
-21.3819,129.3476,"2017","05",857.5,"D"
-21.3966,129.3461,"2017","05",1333.4,"D"
-21.287,129.3132,"2017","05",729.8,"D"
-21.288,129.3078,"2017","05",577.9,"D"
-21.3731,129.2707,"2017","05",623,"D"
-21.3759,129.2984,"2017","05",614.4,"D"
-21.3787,129.3261,"2017","05",861.9,"D"
-21.3905,129.2967,"2017","05",1504.1,"D"
-21.3933,129.3247,"2017","05",2557.4,"D"
-21.4052,129.2951,"2017","05",733.7,"D"
-21.408,129.3231,"2017","05",577.7,"D"
-21.3767,129.2916,"2017","05",936.7,"D"
-21.3793,129.3194,"2017","05",743.9,"D"
-21.3914,129.2899,"2017","05",1115,"D"
-21.394,129.3178,"2017","05",2078.9,"D"
-21.4087,129.3163,"2017","05",821.2,"D"
-21.4821,129.3087,"2017","05",943.2,"D"
-21.4828,129.3031,"2017","05",816.5,"D"
-21.5771,129.2089,"2017","05",737.5,"D"
-21.6686,129.2203,"2017","05",1381.2,"D"
-21.6697,129.2149,"2017","05",1080.8,"D"
-37.339,140.6375,"2017","05",524.7,"D"
-37.2244,140.5331,"2017","05",856.5,"D"
-34.1538,147.2487,"2017","05",649.7,"D"
-34.1489,147.2424,"2017","05",606.1,"D"
-19.4821,125.4233,"2017","05",805.7,"D"
-19.4807,125.4282,"2017","05",582.3,"D"
-19.5355,125.4119,"2017","05",960.7,"D"
-19.5343,125.442,"2017","05",841.8,"D"
-19.5264,125.4495,"2017","05",685,"D"
-19.5432,125.4044,"2017","05",569.9,"D"
-19.5272,125.408,"2017","05",862.3,"D"
-19.5196,125.4154,"2017","05",712.8,"D"
-34.4011,138.4943,"2017","05",591.7,"D"
-19.4358,125.3248,"2017","05",508.1,"D"
-19.4236,125.2674,"2017","05",553.1,"D"
-31.8317,148.1391,"2017","05",579.6,"D"
-31.8337,148.1317,"2017","05",852.7,"D"
-21.7553,129.565,"2017","05",629,"D"
-20.1606,126.6536,"2017","05",822.3,"D"
-20.1701,126.6553,"2017","05",1000.4,"D"
-19.6039,125.3636,"2017","05",624.3,"D"
-19.6,125.3709,"2017","05",605.7,"D"
-21.6089,130.0616,"2017","05",569.1,"D"
-21.6062,130.0905,"2017","05",619.7,"D"
-21.7592,129.0255,"2017","05",726.1,"D"
-21.7621,128.9906,"2017","05",523.7,"D"
-21.7515,129.0205,"2017","05",656.6,"D"
-21.2216,130.0253,"2017","05",1075.4,"D"
-21.2216,130.0181,"2017","05",1152.8,"D"
-21.7017,130.2022,"2017","05",617.2,"N"
-19.6724,125.4394,"2017","05",678.6,"N"
-28.9958,150.4896,"2017","05",853.3,"D"
-21.4477,129.7842,"2017","05",783.9,"D"
-21.4426,129.7529,"2017","05",875,"D"
-19.1136,138.5221,"2017","05",590.6,"D"
-19.1278,138.5253,"2017","05",692.5,"D"
-19.1228,138.5512,"2017","05",680,"D"
-21.7587,130.2194,"2017","05",546.8,"D"
-21.7821,130.1884,"2017","05",1185.7,"D"
-21.7747,130.2232,"2017","05",597,"D"
-21.7827,130.2172,"2017","05",755.8,"D"
-21.5641,129.9014,"2017","05",665.2,"D"
-21.7899,130.1824,"2017","05",630.8,"D"
-19.9153,129.7569,"2017","05",715.9,"D"
-21.8408,130.1689,"2017","05",837.7,"D"
-18.1314,125.0911,"2017","05",547.6,"D"
-18.0831,125.106,"2017","05",847,"D"
-18.082,125.1009,"2017","05",568.1,"D"
-17.0928,126.2776,"2017","05",1038.9,"D"
-17.0925,126.272,"2017","05",854,"D"
-20.7313,122.9012,"2017","05",1377.1,"D"
-20.7352,122.9456,"2017","05",519.2,"D"
-20.7306,122.8959,"2017","05",1123.7,"D"
-20.7342,122.9403,"2017","05",726.4,"D"
-20.3694,128.2759,"2017","05",725.5,"D"
-20.3579,128.2067,"2017","05",533.5,"D"
-20.3722,128.2597,"2017","05",977.8,"D"
-20.4328,128.2424,"2017","05",721.7,"D"
-21.7272,129.5022,"2017","05",519.1,"D"
-19.7692,125.3106,"2017","05",908.8,"D"
